Artwork_ID,Artwork_Title,Artwork_Tag,Comments_count,Likes_count
6636,Tamaki kotatsu,"['Digital 2D', 'Anime & Manga', 'Cover Art', 'Fan Art', 'fireforce', 'tamaki', 'kotatsu', 'pinup', 'anime', 'fanart', 'tutorial', 'digital']",0,163
8228,sexy girl,"['Digital 2D', 'Illustration', 'Anime & Manga', 'Fan Art', 'anime', 'manga', 'girl', 'sexy', 'nude', 'nsfw', 'illustration', 'fanart', 'gamefanart', 'cute', 'boobs', 'study', 'anatomy', 'women', 'naughty', 'badass', 'cool', 'tomboy', 'character', 'semirealist', 'semirealism', 'visualnovel']",0,74
751,Aur,"['Digital 2D', 'Anime & Manga']",1,111
2278,Dwarf Eru Bragir,"['Digital 3D', 'Portraits', 'Realism', 'Character Modeling', 'dwarf', 'gnome', 'character', 'realism', 'realistic', 'realistic character', 'гном', 'anatomy']",8,178
7982,genshin impact fanart semi realism,"['Digital 2D', 'Fantasy', 'Illustration', 'Anime & Manga', 'anime', 'manga', 'baidou', 'genshinimpact', 'game', 'gamefanart', 'semirealism', 'semirealist', 'sexy', 'girl', 'nsfw', 'boobs', 'nude', 'oneesan', 'naughty', 'environment', 'landscape', 'women', 'adult', 'anatomy', 'study', 'scene']",0,71
4681,NSFW Anime 2,"['Digital 2D', 'Illustration', 'Anime & Manga', 'Fan Art', 'anime', 'manga', 'scene', 'scenery', '3d', '3dart', '3dasset', 'game', 'game3d', 'environment', 'landscape', 'gameproject', 'visualnovel', 'blender', 'commissions', 'nendoroid', 'characterdesign', '3dcharacter', 'characterasset', 'chibi', 'gamecharacter', 'semirealist', 'yuri', 'couple', 'nsfw', 'cute', 'arknights', 'gamefanart']",0,47
3847,Lady Dimitrescu Resident Evil Village's - 3D PRINT MODEL,"['Digital 3D', '3D Printing', 'Game Art', 'Character Design', 'Character Modeling', 'RESIDENT EVIL', 'Resident Evil Village', 'Lady Dimitrescu']",0,42
6363,Stella,"['Digital 2D', 'Illustration', 'Fan Art', 'Portraits', 'winx club', 'stella']",4,86
8073,leyeh,,0,67
8099,mama,,0,35
663,Armored Titan Full Model Renders,"['Digital 3D', 'Live Action CG/VFX', 'Fantasy', 'Fan Art', 'Character Modeling', 'Armoured TItan', 'Titan', 'Attack on Titan', 'AOT']",1,28
1954,Darkseid (DC COMICS),"['Digital 3D', 'Real-time', 'Comic Art', 'Fan Art', 'Character Modeling', 'DC Comics', 'Comics', 'Darkseid', 'Snyder Cut', 'Superman', 'Batman', 'Heroes', 'Justice League']",0,28
851,Bad guy,['Digital 2D'],0,40
134,2019 doodle,"['Digital 2D', 'Character Design']",0,27
5615,Reya x Mehri,"['Digital 2D', 'Illustration', 'Anime & Manga', 'anime', 'manga', 'illustration', 'lokigun', 'digital 2d', 'character illustration', 'painting', 'commission']",0,53
1838,Cyborg Trisha,"['Digital 3D', 'Science Fiction', 'Weapons', 'Portraits', 'dazstudio', 'daz3d', 'iray', 'cgi', 'artwork', 'digitalart', '3drender', 'art', '3d', 'photoshop', 'genesis8', 'female', 'sexy', 'weapon', 'cyborg']",1,80
138,2020 doodle 2,['Digital 2D'],0,45
600,Anupam kher,"['Digital 3D', 'Real-time', 'Textures & Materials', 'Portraits', 'VFX for Real-Time & Games']",8,23
