userID,Artwork_ID,interaction_type
113,34855,like
166,34855,like
13,34855,like
74,34855,like
145,34855,like
21,34855,like
200,34855,like
9,34855,like
40,34855,like
89,34855,like
82,34855,like
198,34855,like
70,34855,like
161,34855,like
26,34855,like
100,34855,like
152,34855,like
24,34855,like
139,34855,like
160,34855,like
87,43234,like
139,43234,like
136,43234,like
71,43234,like
35,43234,like
147,43234,like
95,43234,like
98,43234,like
116,43234,like
140,43234,like
43,43234,like
66,43234,like
90,43234,like
30,43234,like
134,43234,like
170,43234,like
82,43234,like
152,43234,like
198,43234,like
12,43234,like
11,4138,like
91,4138,like
19,4138,like
109,4138,like
112,4138,like
116,4138,like
183,4138,like
3,4138,like
142,4138,like
145,4138,like
105,4138,like
64,4138,like
180,4138,like
63,4138,like
97,4138,like
130,4138,like
166,4138,like
59,4138,like
12,4138,like
139,4138,like
73,11796,like
72,11796,like
18,11796,like
50,11796,like
30,11796,like
11,11796,like
13,11796,like
130,11796,like
159,11796,like
170,11796,like
46,11796,like
63,11796,like
49,11796,like
114,11796,like
76,11796,like
145,11796,like
81,11796,like
161,11796,like
99,11796,like
41,11796,like
156,42047,like
104,42047,like
150,42047,like
12,42047,like
122,42047,like
141,42047,like
23,42047,like
72,42047,like
191,42047,like
181,42047,like
174,42047,like
170,42047,like
153,42047,like
88,42047,like
197,42047,like
74,42047,like
45,42047,like
14,42047,like
138,42047,like
190,42047,like
135,24489,like
41,24489,like
143,24489,like
177,24489,like
74,24489,like
10,24489,like
129,24489,like
85,24489,like
26,24489,like
183,24489,like
68,24489,like
130,24489,like
61,24489,like
77,24489,like
144,24489,like
168,24489,like
184,24489,like
149,24489,like
78,24489,like
84,24489,like
123,20088,like
69,20088,like
37,20088,like
129,20088,like
27,20088,like
88,20088,like
150,20088,like
146,20088,like
16,20088,like
108,20088,like
14,20088,like
43,20088,like
1,20088,like
68,20088,like
170,20088,like
119,20088,like
198,20088,like
151,20088,like
15,20088,like
181,20088,like
15,33333,like
79,33333,like
12,33333,like
142,33333,like
168,33333,like
108,33333,like
131,33333,like
17,33333,like
67,33333,like
14,33333,like
113,33333,like
176,33333,like
43,33333,like
110,33333,like
200,33333,like
118,33333,like
9,33333,like
163,33333,like
22,33333,like
102,33333,like
180,42447,like
197,42447,like
64,42447,like
103,42447,like
89,42447,like
67,42447,like
28,42447,like
107,42447,like
199,42447,like
132,42447,like
7,42447,like
156,42447,like
112,42447,like
172,42447,like
80,42447,like
123,42447,like
137,42447,like
38,42447,like
113,42447,like
190,42447,like
157,42572,like
170,42572,like
168,42572,like
83,42572,like
110,42572,like
52,42572,like
53,42572,like
43,42572,like
161,42572,like
15,42572,like
113,42572,like
80,42572,like
60,42572,like
40,42572,like
171,42572,like
183,42572,like
29,42572,like
75,42572,like
149,42572,like
181,42572,like
34,3692,like
154,3692,like
86,3692,like
179,3692,like
55,3692,like
174,3692,like
162,3692,like
111,3692,like
8,3692,like
167,3692,like
59,3692,like
160,3692,like
68,3692,like
19,3692,like
89,3692,like
15,3692,like
152,3692,like
148,3692,like
146,3692,like
56,3692,like
9,10272,like
13,10272,like
55,10272,like
115,10272,like
151,10272,like
118,10272,like
108,10272,like
99,10272,like
184,10272,like
117,10272,like
48,10272,like
36,10272,like
14,10272,like
112,10272,like
179,10272,like
199,10272,like
77,10272,like
2,10272,like
159,10272,like
127,10272,like
200,4628,like
7,4628,like
36,4628,like
6,4628,like
147,4628,like
131,4628,like
111,4628,like
193,4628,like
139,4628,like
39,4628,like
110,4628,like
167,4628,like
195,4628,like
34,4628,like
155,4628,like
150,4628,like
33,4628,like
168,4628,like
135,4628,like
4,4628,like
174,785,like
21,785,like
52,785,like
103,785,like
176,785,like
111,785,like
187,785,like
27,785,like
143,785,like
170,785,like
38,785,like
57,785,like
86,785,like
172,785,like
184,785,like
194,785,like
122,785,like
25,785,like
35,785,like
47,785,like
165,29348,like
99,29348,like
14,29348,like
120,29348,like
31,29348,like
89,29348,like
13,29348,like
37,29348,like
24,29348,like
177,29348,like
21,29348,like
45,29348,like
181,29348,like
158,29348,like
152,29348,like
173,29348,like
5,29348,like
197,29348,like
51,29348,like
69,29348,like
78,9691,like
101,9691,like
42,9691,like
185,9691,like
128,9691,like
54,9691,like
15,9691,like
171,9691,like
105,9691,like
134,9691,like
135,9691,like
26,9691,like
50,9691,like
85,9691,like
82,9691,like
120,9691,like
83,9691,like
194,9691,like
59,9691,like
181,9691,like
45,806,like
198,806,like
181,806,like
62,806,like
2,806,like
85,806,like
86,806,like
78,806,like
33,806,like
161,806,like
119,806,like
126,806,like
24,806,like
186,806,like
103,806,like
98,806,like
109,806,like
8,806,like
136,806,like
99,806,like
170,3339,like
143,3339,like
72,3339,like
37,3339,like
162,3339,like
35,3339,like
93,3339,like
152,3339,like
145,3339,like
59,3339,like
193,3339,like
74,3339,like
130,3339,like
159,3339,like
10,3339,like
94,3339,like
82,3339,like
34,3339,like
166,3339,like
177,3339,like
147,34943,like
5,34943,like
3,34943,like
141,34943,like
17,34943,like
130,34943,like
127,34943,like
8,34943,like
178,34943,like
13,34943,like
48,34943,like
70,34943,like
